product_id,product_name,category,description,price
1,Premium Gel Pens Set,Office Supplies,Premium gel pens set designed for everyday use. Ideal for customers looking for reliable office supplies products.,372.07
2,Portable Electric Kettle,Home & Kitchen,Portable electric kettle designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,369.55
3,Professional Gel Pens Set,Office Supplies,Professional gel pens set designed for everyday use. Ideal for customers looking for reliable office supplies products.,213.85
4,Rechargeable Bluetooth Headphones,Electronics,Rechargeable bluetooth headphones designed for everyday use. Ideal for customers looking for reliable electronics products.,120.17
5,Eco-Friendly Face Moisturizer,Beauty & Personal Care,Eco-Friendly face moisturizer designed for everyday use. Ideal for customers looking for reliable beauty & personal care products.,103.42
6,Rechargeable Planner Journal,Office Supplies,Rechargeable planner journal designed for everyday use. Ideal for customers looking for reliable office supplies products.,227.36
7,Portable Yoga Mat,Sports & Outdoors,Portable yoga mat designed for everyday use. Ideal for customers looking for reliable sports & outdoors products.,350.58
8,Portable Hydration Backpack,Sports & Outdoors,Portable hydration backpack designed for everyday use. Ideal for customers looking for reliable sports & outdoors products.,111.58
9,Compact Resistance Bands,Sports & Outdoors,Compact resistance bands designed for everyday use. Ideal for customers looking for reliable sports & outdoors products.,193.06
10,Professional Foam Roller,Sports & Outdoors,Professional foam roller designed for everyday use. Ideal for customers looking for reliable sports & outdoors products.,135.94
11,Eco-Friendly Noise Cancelling Earbuds,Electronics,Eco-Friendly noise cancelling earbuds designed for everyday use. Ideal for customers looking for reliable electronics products.,66.79
12,Eco-Friendly Women's Running Leggings,Clothing,Eco-Friendly women's running leggings designed for everyday use. Ideal for customers looking for reliable clothing products.,150.12
13,Professional Whiteboard Markers,Office Supplies,Professional whiteboard markers designed for everyday use. Ideal for customers looking for reliable office supplies products.,100.18
14,Rechargeable Wireless Mouse,Electronics,Rechargeable wireless mouse designed for everyday use. Ideal for customers looking for reliable electronics products.,387.67
15,Compact Smartphone Case,Electronics,Compact smartphone case designed for everyday use. Ideal for customers looking for reliable electronics products.,193.16
16,Portable Baseball Cap,Clothing,Portable baseball cap designed for everyday use. Ideal for customers looking for reliable clothing products.,188.24
17,Compact Food Storage Container,Home & Kitchen,Compact food storage container designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,306.52
18,Portable Electric Kettle,Home & Kitchen,Portable electric kettle designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,233.82
19,Lightweight Running Belt,Sports & Outdoors,Lightweight running belt designed for everyday use. Ideal for customers looking for reliable sports & outdoors products.,422.21
20,Premium Smartphone Case,Electronics,Premium smartphone case designed for everyday use. Ideal for customers looking for reliable electronics products.,403.5
21,Compact Athletic Socks,Clothing,Compact athletic socks designed for everyday use. Ideal for customers looking for reliable clothing products.,109.44
22,Rechargeable Beard Trimmer,Beauty & Personal Care,Rechargeable beard trimmer designed for everyday use. Ideal for customers looking for reliable beauty & personal care products.,329.44
23,Portable Casual Sneakers,Clothing,Portable casual sneakers designed for everyday use. Ideal for customers looking for reliable clothing products.,136.12
24,Professional Food Storage Container,Home & Kitchen,Professional food storage container designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,217.07
25,Lightweight Body Lotion,Beauty & Personal Care,Lightweight body lotion designed for everyday use. Ideal for customers looking for reliable beauty & personal care products.,113.56
26,Compact Dish Drying Rack,Home & Kitchen,Compact dish drying rack designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,379.11
27,Portable USB-C Charger,Electronics,Portable usb-c charger designed for everyday use. Ideal for customers looking for reliable electronics products.,397.08
28,Durable Women's Running Leggings,Clothing,Durable women's running leggings designed for everyday use. Ideal for customers looking for reliable clothing products.,193.9
29,Eco-Friendly Athletic Socks,Clothing,Eco-Friendly athletic socks designed for everyday use. Ideal for customers looking for reliable clothing products.,431.09
30,Eco-Friendly Bluetooth Headphones,Electronics,Eco-Friendly bluetooth headphones designed for everyday use. Ideal for customers looking for reliable electronics products.,376.68
31,Compact Whiteboard Markers,Office Supplies,Compact whiteboard markers designed for everyday use. Ideal for customers looking for reliable office supplies products.,150.28
32,Premium Dish Drying Rack,Home & Kitchen,Premium dish drying rack designed for everyday use. Ideal for customers looking for reliable home & kitchen products.,477.14
33,Eco-Friendly Laptop Stand,Office Supplies,Eco-Friendly laptop stand designed for everyday use. Ideal for customers looking for reliable office supplies products.,382.17
34,Ergonomic Vitamin C Serum,Beauty & Personal Care,Ergonomic vitamin c serum designed for everyday use. Ideal for customers looking for reliable beauty & personal care products.,421.63
